Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	6	home with my family . how	5	2	1	Human 1	4, 5
2	2	5	i was living in germany	15	2	1	Human 1	14, 15
3	3	2	i have	8	4	2	Human 2	5, 7, 8
3	1	2	i was	15	6	2	Human 1	10, 14, 15
3	1	2	in germany	16	3	1	Human 1	14, 15, 16
3	3	2	you have	3	3	1	Human 1	2, 3, 4
2	2	2	did you	13	8	1	Human 1	6, 13
2	2	2	go ?	11	6	1	Human 1	6, 11
2	2	2	just stay	5	2	1	Human 1	4, 5
2	2	2	traveled around	13	4	1	Human 1	10, 13
2	2	2	volunteer project	13	4	1	Human 1	10, 13
10	5	1	i	5	15	2	Human 1	2, 4, 5, 6, 7, 8, 10, 14, 15, 16
10	6	1	you	2	13	1	Human 2	1, 2, 3, 4, 5, 6, 7, 9, 11, 13
9	4	1	have	4	13	1	Human 1	2, 3, 4, 5, 7, 8, 9, 10, 14
5	5	1	a	10	12	2	Human 2	3, 9, 10, 12, 14
5	5	1	the	5	13	1	Human 1	2, 5, 12, 13, 14
4	2	1	how	4	13	1	Human 2	1, 4, 5, 13
4	1	1	in	15	9	2	Human 1	8, 14, 15, 16
4	4	1	to	11	8	3	Human 1	4, 8, 10, 11
4	3	1	was	15	6	3	Human 1	10, 12, 14, 15
3	1	1	around	11	4	1	Human 1	10, 11, 13
3	3	1	been	8	7	1	Human 2	3, 8, 9
3	3	1	for	5	8	1	Human 1	2, 5, 9
3	1	1	volunteer	13	4	2	Human 1	10, 12, 13
3	3	1	work	5	4	1	Human 1	4, 5, 7
2	2	1	africa	11	4	1	Human 1	8, 11
2	2	1	and	10	6	1	Human 2	5, 10
2	2	1	see	7	2	1	Human 1	6, 7
2	2	1	so	13	4	1	Human 1	10, 13
2	2	1	time	14	12	1	Human 2	3, 14
2	2	1	uganda	9	2	1	Human 1	8, 9
2	2	1	where	11	6	1	Human 1	6, 11

